"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,1089,0.00063750235
0,1092,0.00063772994
0,1095,0.0006379678
0,1098,0.0006382154
0,1101,0.0006384725
0,1104,0.0006387387
0,1107,0.00063901366
0,1110,0.000639297
0,1113,0.00063958846
0,1116,0.00063988764
0,1119,0.0006401942
0,1122,0.0006405081
0,1125,0.0006408288
0,1128,0.00064115605
0,1131,0.0006414896
0,1134,0.00064182904
0,1137,0.0006421742
0,1140,0.0006425248
0,1143,0.00064288056
0,1146,0.0006432412
0,1149,0.0006436065
0,1152,0.00064397615
0,1155,0.00064435
0,1158,0.0006447277
0,1161,0.00064510916
0,1164,0.0006454941
0,1167,0.00064588216
0,1170,0.00064627326
0,1173,0.00064666715
0,1176,0.0006470636
0,1179,0.0006474624
0,1182,0.0006478634
0,1185,0.0006482664
0,1188,0.0006486712
0,1191,0.0006490775
0,1194,0.00064948533
0,1197,0.00064989435
0,1200,0.00065030437
0,1203,0.0006507153
0,1206,0.0006511269
0,1209,0.000651539
0,1212,0.0006519515
0,1215,0.0006523643
0,1218,0.0006527771
0,1221,0.0006531899
0,1224,0.0006536024
0,1227,0.0006540145
0,1230,0.00065442617
0,1233,0.0006548371
0,1236,0.00065524725
0,1239,0.00065565645
0,1242,0.0006560646
0,1245,0.0006564716
0,1248,0.0006568773
0,1251,0.00065728155
0,1254,0.0006576843
0,1257,0.00065808534
0,1260,0.00065848464
0,1263,0.0006588821
0,1266,0.00065927755
0,1269,0.00065967086
0,1272,0.000660062
0,1275,0.0006604509
0,1278,0.0006608374
0,1281,0.0006612214
0,1284,0.0006616028
0,1287,0.00066198164
0,1290,0.00066235766
0,1293,0.00066273083
0,1296,0.0006631011
0,1299,0.0006634684
0,1302,0.0006638325
0,1305,0.0006641936
0,1308,0.0006645514
0,1311,0.0006649058
0,1314,0.0006652569
0,1317,0.0006656046
0,1320,0.0006659487
0,1323,0.00066628924
0,1326,0.0006666261
0,1329,0.00066695927
0,1332,0.00066728867
0,1335,0.00066761416
0,1338,0.0006679358
0,1341,0.00066825346
0,1344,0.00066856714
0,1347,0.00066887675
0,1350,0.0006691823
0,1353,0.00066948356
0,1356,0.00066978065
0,1359,0.0006700735
0,1362,0.000670362
0,1365,0.0006706461
0,1368,0.00067092583
0,1371,0.0006712011
0,1374,0.0006714719
0,1377,0.0006717382
0,1380,0.0006719998
0,1383,0.0006722569
0,1386,0.0006725093
0,1389,0.0006727571
0,1392,0.00067300006
0,1395,0.00067323836
0,1398,0.00067347183
0,1401,0.0006737005
0,1404,0.00067392434
0,1407,0.00067414326
0,1410,0.0006743573
0,1413,0.0006745664
0,1416,0.00067477056
0,1419,0.00067496975
0,1422,0.0006751639
0,1425,0.000675353
0,1428,0.0006755371
0,1431,0.0006757161
0,1434,0.00067588995
0,1437,0.00067605876
0,1440,0.0006762224
0,1443,0.0006763809
0,1446,0.00067653426
0,1449,0.00067668234
0,1452,0.0006768253
0,1455,0.000676963
0,1458,0.0006770955
0,1461,0.00067722274
0,1464,0.0006773447
0,1467,0.0006774614
0,1470,0.0006775728
0,1473,0.0006776789
0,1476,0.0006777797
0,1479,0.00067787524
0,1482,0.0006779654
0,1485,0.0006780502
0,1488,0.0006781297
0,1491,0.0006782039
0,1494,0.0006782727
0,1497,0.00067833613
0,1500,0.00067839416
0,1503,0.0006784469
0,1506,0.0006784942
0,1509,0.0006785362
0,1512,0.00067857275
0,1515,0.00067860394
0,1518,0.00067862973
0,1521,0.0006786501
0,1524,0.0006786651
0,1527,0.0006786748
0,1530,0.00067867903
0,1533,0.00067867787
0,1536,0.00067867135
0,1539,0.0006786594
0,1542,0.0006786421
0,1545,0.0006786194
0,1548,0.0006785914
0,1551,0.0006785579
0,1554,0.0006785191
0,1557,0.0006784749
0,1560,0.0006784253
0,1563,0.0006783704
0,1566,0.0006783101
0,1569,0.0006782445
0,1572,0.00067817356
0,1575,0.00067809725
0,1578,0.0006780156
0,1581,0.0006779286
0,1584,0.00067783636
0,1587,0.00067773875
0,1590,0.00067763584
0,1593,0.0006775276
0,1596,0.0006774142
0,1599,0.00067729544
0,1602,0.0006771714
0,1605,0.0006770421
0,1608,0.0006769076
0,1611,0.0006767678
0,1614,0.0006766228
0,1617,0.00067647255
0,1620,0.00067631714
